# corodiff's XFAIL ledger (design 218 unit 0).
#
# A signature listed here is a twin-parity finding that has been FILED as a DF
# and is not yet fixed. corodiff still reports every hit — with its DF number
# and the first combo that reached it — but does not fail the run for it, so
# the battery's corodiff lane stays a signal rather than a wall.
#
# READ IT AS A MATRIX, not as a list of excuses. A runtime signature is
# `<kind>: <binding>/<placement> @ <context class>`, which names one testable
# cell of the axis grammar, and a mechanism's full set of cells is exactly the
# position matrix obligations 1 and 4 ask a fix brief to carry. The DF-217h and
# DF-217p blocks below ARE those matrices, generated from a full `--all`
# run rather than guessed.
#
# The rules are the suite's XFAIL rules:
#   - an entry MUST cite a DF, and a numbered DF MUST have a pin in examples/
#   - an entry that no longer fires is STALE — delete it in the landing that
#     fixes the bug, exactly as you delete the XFAIL marker
#   - `--ignore-known` re-reports everything here, which is how you check
#
# (The landing run's `DF-pending-*` entries were numbered DF-217n/o/p by the
# lead at integration; their examples/ pins ride the pin-promotion batch.)
#
# Format: DF <TAB> signature   (the signature corodiff prints for it)

# DF-217f's row is GONE, removed by design 237 unit 2 (the ledger sweep that
# unit's fix owed). The finding — a suspending call as an enum-constructor
# argument that is itself a `match` scrutinee — was CLOSED by design 224's
# container-HEAD hoist on Aug 15: a scrutinee is a head, `_hoist_container_heads`
# lifts it, and the ctor's own arguments then linearize through the funnel. The
# entry outlived its fix by six days; design 237's census re-probed every cell
# (`match Sig.One(v: s(7))`, the struct-init sibling, both `&&`/`||` LHS, the
# `if`/`while` conditions and the `for`-range bounds) and found them all working.
#
# DF-217g's row is GONE too, removed by the fix (design 237 unit 2): a
# destructuring `let` was the one LEAF statement class missing from the ANF
# hoist's entry set, and it is now a row of `_ANF_STMT_ENTRIES` with
# `examples/coro_destructuring_let_suspending_rhs.saw` as its matrix.

# DF-217h's seventeen rows are GONE, removed by design 218 stage 2 (Aug 14) in
# the landing that fixed them, exactly as an XPASS marker is. The ANF hoist's
# temp is a `Slot` now and its one read is `take()`, so a value consumed by the
# parent cannot also be dropped at teardown — the three argument positions the
# matrix carried (`v.set(i, f())`, `v.swap_out(i, f())`, `none() ?? f()`) and
# every oracle class they reached (linear, loop, cancel, teardown, MT) are
# clean on a full `--all` run.

# DF-216g — a closure naming `self` inside a SUSPENDING method ICEs: the
# capture is judged pre-transform, where `self` is the receiver, and the
# rewrite rebinds `self` to the frame. Pinned as
# examples/closure_captures_self_suspending.saw and pre-registered on design
# 218 unit 2's flip list. The sync twin compiles and runs (design 216 unit 1).
DF-216g	ICE: error: internal compiler error at <src>:N:N (MemberAccess): Cannot find field n in struct with type %"__Frame_Holder_run"
DF-217p-2026-08-13	DEINIT-ORDER: guard_let/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: if_let_move_local/after @ linear
DF-217p-2026-08-13	DEINIT-ORDER: if_let_move_local/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: if_let_move_local/between @ linear
DF-217p-2026-08-13	DEINIT-ORDER: if_let_move_local/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: if_let_payload/after @ linear
DF-217p-2026-08-13	DEINIT-ORDER: if_let_payload/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: if_let_payload/between @ linear
DF-217p-2026-08-13	DEINIT-ORDER: if_let_payload/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let/in_rhs @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_rebind_distinct/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_rebind_distinct/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_rebind_distinct/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_rebind_distinct/in_rhs @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/after @ linear
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/before @ linear
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/between @ linear
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/in_rhs @ linear
DF-217p-2026-08-13	DEINIT-ORDER: let_shadow_rebind/in_rhs @ loop
DF-217p-2026-08-13	DEINIT-ORDER: match_borrow/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: match_consume/after @ linear
DF-217p-2026-08-13	DEINIT-ORDER: match_consume/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: match_consume/between @ linear
DF-217p-2026-08-13	DEINIT-ORDER: match_consume/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: nested_tuple_destructure/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: nested_tuple_destructure/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: nested_tuple_destructure/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: optional_take/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: optional_take/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: optional_take/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: place_write_index/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: place_write_index/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: place_write_index/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: place_write_set/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: place_write_set/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: place_write_set/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: place_write_set/in_rhs @ loop
DF-217p-2026-08-13	DEINIT-ORDER: swap_out/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: swap_out/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: swap_out/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: swap_out/in_rhs @ loop
DF-217p-2026-08-13	DEINIT-ORDER: tuple_destructure/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: tuple_destructure/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: tuple_destructure/between @ loop
# Two more `in_rhs @ loop` cells of the same mechanism, surfaced by the
# range-`for` contexts added with DF-225m's fix. Ledger gaps, not new bugs:
# both reproduce on `loop_second_iter` with the pre-DF-225m compiler, which
# never enters `_split_for` at all.
DF-217p-2026-08-13	DEINIT-ORDER: match_consume/in_rhs @ loop
DF-217p-2026-08-13	DEINIT-ORDER: match_nobinding/in_rhs @ loop

# DF-218e (reported 2026-08-14) — the FIRST finding of the generic-driven
# axis, and pre-existing: a GENERIC function used as a SPAWN root cannot
# contain a nested suspending call. The callee is consumed by the transform
# (frame + driver, plain function removed) while the generic template's body
# still names it, so the re-check reports `undefined function <callee>` at the
# author's own line plus an undefined-variable cascade for the binding it
# feeds. Only the spawn cell fails: non-generic spawn + nested call, generic
# spawn suspending only by `yield_now()`, and the same generic body driven
# through the AMBIENT entry all compile and run.
# PIN: examples/coro_generic_spawn_root_nested_suspending_call.saw
DF-218e-2026-08-14	BOGUS-REFUSAL: error: undefined function `X`
